"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
1,1497470499,1497470499,"2017-06-14",5.057486653327522E+18,"Social","Not Socially Engaged",1,0
126,1500823739,1500823739,"2017-07-23",6.223656049985812E+18,"Social","Not Socially Engaged",3,0
3,1497491043,1497491043,"2017-06-14",8.616360659186318E+18,"Direct","Not Socially Engaged",1,0
8,1499831485,1499831485,"2017-07-11",6.592229295251612E+18,"Organic Search","Not Socially Engaged",1,0
3,1498693274,1498693274,"2017-06-28",4.7358177137199744E+17,"Direct","Not Socially Engaged",1,0
1,1497142646,1497142646,"2017-06-10",6.56267665514133E+18,"Organic Search","Not Socially Engaged",1,0
1,1500585080,1500585080,"2017-07-20",2.751502504036629E+17,"Organic Search","Not Socially Engaged",1,0
1,1499093381,1499093381,"2017-07-03",3.891058120877986E+17,"Organic Search","Not Socially Engaged",1,0
9,1495045623,1495045623,"2017-05-17",1.771387275691956E+18,"Direct","Not Socially Engaged",1,0
2,1498396370,1498396370,"2017-06-25",6.081114542226184E+18,"Organic Search","Not Socially Engaged",1,0
1,1498430542,1498430542,"2017-06-25",8.57171102476038E+17,"Organic Search","Not Socially Engaged",1,0
9,1501338212,1501338212,"2017-07-29",6.896583334414425E+18,"Referral","Not Socially Engaged",1,0
2,1501203034,1501203034,"2017-07-27",3.1042092120893947E+18,"Referral","Not Socially Engaged",1,0
1,1500635372,1500635372,"2017-07-21",9.146286165000435E+18,"Organic Search","Not Socially Engaged",1,0
2,1501272800,1501272800,"2017-07-28",3.529874037815272E+18,"Paid Search","Not Socially Engaged",1,0
1,1494622206,1494622206,"2017-05-12",6.338500387786069E+18,"Referral","Not Socially Engaged",1,0
8,1501025103,1501025103,"2017-07-25",6.996048912671123E+18,"Referral","Not Socially Engaged",1,0
1,1494971202,1494971202,"2017-05-16",7.314798798300464E+18,"Organic Search","Not Socially Engaged",1,0
1,1494894759,1494894759,"2017-05-15",3.55695483055815E+18,"Organic Search","Not Socially Engaged",1,0
1,1494876636,1494876636,"2017-05-15",8.799997195700923E+17,"Organic Search","Not Socially Engaged",1,0
1,1494972149,1494972149,"2017-05-16",5.724915483612266E+18,"Organic Search","Not Socially Engaged",1,0
1,1494944497,1494944497,"2017-05-16",5.563779008171344E+18,"Direct","Not Socially Engaged",1,0
2,1494884869,1494884869,"2017-05-15",2.36416864823494E+18,"Organic Search","Not Socially Engaged",1,0
1,1494888713,1494888713,"2017-05-15",5.843934953806595E+18,"Organic Search","Not Socially Engaged",1,0
1,1494963820,1494963820,"2017-05-16",4.9352830521293664E+17,"Organic Search","Not Socially Engaged",1,0
