"sku","name","orderedquantity","stocklevel","restockingleadtime","sentimentscore","sentimentmagnitude"
"GGADFBSBKS42347","PC gaming speakers",0,100,1,NULL,NULL
"GGOEGAAX0581"," Women's Colorblock Tee White",0,0,8,0.80,2.00
"GGOEGAAX0596"," Men's Quilted Insulated Vest Black",26,32,8,0.80,2.00
"GGOEGAAX0365"," Women's Scoop Neck Tee Black",65,73,6,0.00,0.50
"GGOEGEVB070899"," Bongo Cupholder Bluetooth Speaker",85,115,8,0.00,0.50
"GGOEGESC014699","Aluminum Handy Emergency Flashlight",66,90,9,0.00,0.50
"GGOEGAAX0325"," Men's Short Sleeve Hero Tee Charcoal",53,104,12,0.00,0.50
"GGOEGAAX0296"," Women's Short Sleeve Tri-blend Badge Tee Grey",19,33,15,0.00,0.50
"GGOEGHGH019699"," Sunglasses",1573,2086,6,0.50,0.50
"GGOEGDWR015799","Red Shine 15 oz Mug",1058,1417,20,0.30,0.50
"GGOEGAAX0081","Recycled Paper Journal Set",545,740,5,0.30,0.50
"GGOEGALB036514"," Women's Scoop Neck Tee Black",116,154,5,0.30,0.50
"GGOEGAWH061350"," Onesie Green",7,9,5,0.30,0.50
"GGOENEBQ084699"," Learning Thermostat 3rd Gen-USA - White",849,1142,5,0.30,0.50
"GGOEAHPB076114","Android Stretch Fit Hat",6,8,5,0.30,0.50
"GGOEGADJ059715"," Men's Quilted Insulated Vest Battleship Grey",30,39,5,0.30,0.50
"GGOEWAEA083899"," Dress Socks",15,20,6,0.30,0.50
"9180850","Ballpoint Stylus Pen",0,0,6,0.30,0.50
"9183118"," Women's Fleece Hoodie Black",0,0,6,0.30,0.50
"GGOEYDHJ056099","22 oz  Bottle Infuser",1465,1944,7,0.30,0.50
"GGOEGAEC029117"," Women's Short Sleeve Hero Tee Sky Blue",2,2,7,0.30,0.50
"GGOEGAAX0620"," Infant Short Sleeve Tee Green",38,52,7,0.30,0.50
"GGOENEBJ079499"," Learning Thermostat 3rd Gen-USA - Stainless Steel",1886,2525,7,0.30,0.50
"GGOEADHH073999","Android 17oz Stainless Steel Sport Bottle",210,283,8,0.30,0.50
"GGOEGAAJ032313"," Men's Short Sleeve Hero Tee Charcoal",46,61,8,0.30,0.50
"GGOEGATB060613"," Women's Convertible Vest-Jacket Black",33,44,8,0.30,0.50
"9183203"," Device Holder Sticky Pad",0,0,8,0.30,0.50
"GGOEGAEA030413"," Womens 3/4 Sleeve Baseball Raglan Heather/Black",23,31,9,0.30,0.50
"GGOEGAWQ062948"," Baby Essentials Set",261,77,10,0.30,0.50
"9184697"," Mood Original Window Decal",0,0,11,0.30,0.50
